time, vx, vy
641, 4.25569e-13, 3.37408e-13
642, 4.26582e-13, 3.38686e-13
643, 4.27602e-13, 3.3997e-13
644, 4.2863e-13, 3.41262e-13
645, 4.29665e-13, 3.42562e-13
646, 4.30708e-13, 3.43869e-13
647, 4.31759e-13, 3.45184e-13
648, 4.32817e-13, 3.46507e-13
649, 4.33884e-13, 3.47838e-13
650, 4.3496e-13, 3.49176e-13
651, 4.36044e-13, 3.50523e-13
652, 4.37136e-13, 3.51879e-13
653, 4.38238e-13, 3.53243e-13
654, 4.39348e-13, 3.54615e-13
655, 4.40467e-13, 3.55997e-13
656, 4.41596e-13, 3.57387e-13
657, 4.42734e-13, 3.58787e-13
658, 4.43882e-13, 3.60195e-13
659, 4.4504e-13, 3.61614e-13
660, 4.46208e-13, 3.63041e-13
661, 4.47386e-13, 3.64479e-13
662, 4.48575e-13, 3.65926e-13
663, 4.49774e-13, 3.67384e-13
664, 4.50985e-13, 3.68852e-13
665, 4.52206e-13, 3.7033e-13
666, 4.53439e-13, 3.71819e-13
667, 4.54684e-13, 3.73319e-13
668, 4.5594e-13, 3.74831e-13
669, 4.57208e-13, 3.76353e-13
670, 4.58489e-13, 3.77887e-13
671, 4.59783e-13, 3.79433e-13
672, 4.6109e-13, 3.8099e-13
673, 4.62409e-13, 3.8256e-13
674, 4.63743e-13, 3.84142e-13
675, 4.6509e-13, 3.85737e-13
676, 4.66452e-13, 3.87344e-13
677, 4.67828e-13, 3.88965e-13
678, 4.69219e-13, 3.906e-13
679, 4.70624e-13, 3.92247e-13
680, 4.72044e-13, 3.93909e-13
681, 4.73479e-13, 3.95584e-13
682, 4.7493e-13, 3.97273e-13
683, 4.76396e-13, 3.98976e-13
684, 4.77879e-13, 4.00693e-13
685, 4.79377e-13, 4.02425e-13
686, 4.80892e-13, 4.04172e-13
687, 4.82423e-13, 4.05933e-13
688, 4.83971e-13, 4.0771e-13
689, 4.85537e-13, 4.09502e-13
690, 4.8712e-13, 4.1131e-13
691, 4.88721e-13, 4.13134e-13
692, 4.90341e-13, 4.14975e-13
693, 4.91979e-13, 4.16831e-13
694, 4.93636e-13, 4.18705e-13
695, 4.95312e-13, 4.20596e-13
696, 4.97008e-13, 4.22504e-13
